Iterations,Value,Shrinkage,Epsilon_1_next,Epsilon_2_next,Epsilon_1_bound,Epsilon_2_bound
0,39047.40808308082,0,0.2739844772579815,0.22020521527629566,0.5591357706893216,0.46466366688163174
1,39157.35659075168,1,0.11466119577991145,0.10701660976012187,0.0033100857441495934,0.009999999999917075
2,39179.564603105966,1,0.06299397170029096,0.05139496877078093,-3.21322829455184e-14,0.009999999999967868
3,39179.56460310599,0,0.07954488280417284,0.06786935198723071,0.05356550946742124,0.05199255125184631
4,39219.231253474645,1,0.06392040173766782,0.04292488203341492,0.025608146433229402,0.00999999999999135
5,39225.05511592729,1,0.0338563182415031,0.019717564552242765,0.012301181542979545,0.009999999999990794
6,39225.05511592727,0,0.05315456163958651,0.036901514411647775,0.03600326001615983,0.019330026834262652
7,39225.0551159273,0,0.06506573137095924,0.06260255546170976,0.06811816709316111,0.03791378540367929
8,39249.528287269764,1,0.04781307024369546,0.03737586867653918,0.014319256987905149,0.02431925698790515
9,39249.528287269844,0,0.06209408348255079,0.05448579105966699,0.0519860393073317,0.0493744265404874
10,39250.07327892435,0,0.07622831664620745,0.0760653083273121,0.08182516701305287,0.07739676121852267
11,39270.58623741701,1,0.057089408875940356,0.05216119021349705,0.04277333260557592,0.05277333260557592
12,39271.590146706185,1,0.0303281141879831,0.027000714250018158,-2.6756374893466273e-14,0.009999999999973244
13,39273.70247652059,1,0.018372523649526774,0.018893517615284898,3.4481098531990995e-14,0.00999999999996586
14,39273.70247652063,0,0.03120898806437942,0.023429024683210314,0.023203960388961248,0.028428151779436805
15,39284.87363293464,1,0.0159269752712124,0.013218748358420592,-1.6653345369377348e-16,0.009999999999991127
16,39284.87363293466,0,0.025322508085079947,0.0214217886250432,0.018048633489147425,0.014932099724998362
17,39286.03538119086,1,0.017991590748625393,0.012817115218811972,-1.5785983631388945e-16,0.009999999999991127
18,39286.03538119084,0,0.025145159696053365,0.02073475903361693,0.01925343681506709,0.017399383945171425
19,39287.07902512947,1,0.01851233111406665,0.010704722601816968,-2.480654570646834e-16,0.009999999999990884
20,39288.31192900649,1,0.011286399423097839,0.009999999999999834,2.3071822230491534e-16,0.009999999999990905
21,39288.31192900649,0,0.017002381301403892,0.010000000000000111,0.01433776523732111,0.016365375186981668
22,39296.32397969307,1,0.00959655741662598,0.00999999999999989,0.0038227476606884168,0.009999999999990822
23,39296.323979693116,0,0.01313568649510941,0.010000000000000214,0.008857412349582658,0.01097785603913562
24,39296.3239796931,0,0.01890147711417774,0.01869470855456935,0.02125832431906522,0.01467574815687255
25,39298.45645695095,1,0.012009327851647406,0.01000000000000208,-2.1337098754514727e-16,0.009999999999999787
26,39298.45645695094,0,0.018882684402417617,0.015136592575789823,0.013569346750103475,0.01217817958671482
27,39298.45645695097,0,0.03198804516018463,0.02234775781649982,0.020039041982069968,0.014574234831756433
28,39408.39089661732,1,0.01840774749658694,0.013398031880723332,0.01064964462886464,0.009999999999990128
29,39413.29348259079,1,0.00911388383884718,0.010000000000000243,0.0028805908553940583,0.00999999999999085
30,39413.29348259076,0,0.015404689710312608,0.015006016957516079,0.017176600523759522,0.026389605595692645
31,39414.83821469893,1,0.010669354843518898,0.010000000000001312,-1.0234868508263162e-16,0.00999999999998813
32,39414.83821469896,0,0.014630659852987579,0.013620935531373814,0.030386223702639333,0.0135338699052615
33,39414.83821469896,0,0.024444005862667272,0.02254574920894488,0.02746108792510915,0.028571780525651458
34,39416.9483392885,1,0.01864855595473362,0.01443002558710838,-2.220446049250313e-16,0.009999999999991183
35,39416.94833928849,0,0.028401807970310437,0.02232895560321339,0.021633514562261535,0.014180470166694234
36,39418.6170524382,1,0.01645758526835166,0.012856851199306896,0.006962880802390034,0.009999999999991044
37,39418.6170524382,0,0.02718802809954109,0.01970003275074821,0.018872642503866097,0.024157631601407603
38,39418.61705243822,0,0.03470482556859136,0.032221137354265496,0.030320449581334168,0.029094292123581167
39,39419.95359035246,1,0.018716899231144522,0.018789210475051183,0.00991307384758642,0.010000000000048206
40,39419.95359035247,0,0.0290844924237438,0.029227251587074513,0.02589954375387813,0.020177005883202946
41,39419.95359035247,0,0.04064825199050627,0.04106156861443396,0.02893981850587629,0.028589910789410297
42,39419.953590352525,0,0.06109881627170085,0.06188999835534611,0.040617881988383675,0.040925437693582395
43,39419.95359035251,0,0.09203252175313564,0.09143304462632272,0.06083175852179312,0.06183372871061328
44,39419.953590352496,0,0.09588209015198061,0.09504416348834897,0.09160914156969917,0.09132113356271886
45,39419.95359035251,0,0.09588209015198061,0.09504416348834897,0.09587562490859977,0.09490642966562929
