Iterations,Value,Shrinkage,Epsilon_1_next,Epsilon_2_next,Epsilon_1_bound,Epsilon_2_bound
0,39612.772744089845,0,0.08755543551135457,0.23886243492253267,0.9761446873708906,0.9861446873708906
1,39671.213208749425,1,0.06681210889149271,0.18774350146289237,-6.79369754896797e-14,0.009999999999884324
2,39731.19711461768,1,0.020093967497550887,0.051705995280091975,-1.9897278269453977e-15,0.009999999999987352
3,39768.52146077213,1,0.021607926605839257,0.044509743038993056,-1.7763568394002505e-15,0.009999999999998899
4,39785.87629658611,1,0.008162751992841678,0.03198410123169256,-1.5456386170953351e-15,0.010000000000000675
5,39790.48866174935,1,0.004140218952556764,0.01594633156795851,-2.0197385430797965e-14,0.009999999999999787
6,39803.35498063025,1,0.0026758115878151574,0.010229117087945723,-1.5456386170953351e-15,0.00999999999998935
7,39807.57954321067,1,0.002505516689613002,0.009999999999999556,-1.5456386170953351e-15,0.009999999999990905
8,39807.5795432107,0,0.004213846962091935,0.009999999999999556,0.02651590081888966,0.015947197380545945
9,39812.32695762016,1,0.0015009175091835472,0.00999999999999989,-2.877906246645523e-15,0.009999999999990461
10,39816.974718595855,1,0.00222808941186796,0.009999999999990905,-9.103828801926284e-15,0.009999999999975806
11,39816.97471859587,0,0.0017792918011813891,0.009999999999991793,0.015378425378644875,0.019972561499055574
12,39818.351400220956,1,0.00012230270538474456,0.009999999999990905,-4.6542630860457734e-15,0.009999999999981801
13,39821.21688972505,1,1.7253402632923138e-15,0.009999999999989573,-4.551914400963142e-15,0.009999999999979248
