Iterations,Value,Shrinkage,Epsilon_1_next,Epsilon_2_next,Epsilon_1_bound,Epsilon_2_bound
0,40000.109357410714,0,0.03875562351117648,0.37048790740158294,2.4608489088586367,3.5337178661786393
1,40012.59081293528,1,0.03146961185627271,0.2929674751279476,-1.6646971821854262e-10,0.24682436065618507
2,40058.53336126529,1,0.03254357060328711,0.22923276823204078,-6.8747091352960865e-15,0.00999999999999035
3,40063.680392732254,1,0.02568573686461472,0.21142592678689615,-9.769962616701378e-15,0.009999999999981848
4,40099.36337664516,1,0.024462485318009108,0.17313460071988088,-1.1567635738174431e-10,0.009999999883144142
5,40109.07583266198,1,0.020434790926930384,0.1573258426745152,-1.0658141036401503e-13,0.009999999999893419
6,40136.648794578825,1,0.004580812493768803,0.0454166430496827,-9.011888457699513e-15,0.009999999999990905
7,40152.82347535852,1,0.007938648580338515,0.1096964468697873,-6.698998994414396e-13,0.009999999999958478
8,40173.003820798476,1,0.0023793444501222383,0.030625742104671887,-3.007837034996186e-14,0.009999999999969922
9,40211.162379841015,1,0.0016534597420449781,0.024740729145240115,-5.46229728115577e-14,0.009999999999991016
10,40244.756672944604,1,0.007920583469143653,0.06058188855518212,-1.6118875331705418e-11,0.009999999984384722
11,40254.391772215575,1,9.392090061097895e-15,0.01796442148634706,-1.1102230246251565e-13,0.009999999999990461
