Iterations,Value,Shrinkage,Epsilon_1_next,Epsilon_2_next,Epsilon_1_bound,Epsilon_2_bound
0,40000.109357410714,0,0.03875562351117648,0.37048790740158294,2.4608489088586367,3.5337178661786393
1,40013.44498368711,1,0.031208590153979747,0.2895556965970073,-1.6646971821854262e-10,0.009999999999990905
2,40068.05328636917,1,0.03189364676574328,0.26130075545306064,-2.8759217229890055e-12,0.009999999997861267
3,40099.26901794782,1,0.027382424265433948,0.21433433736326066,-7.82314213410018e-11,0.009999999927773331
4,40107.61707424408,1,0.014595730601743385,0.18665986626490821,-5.1514348342607263e-14,0.00999999999995893
5,40108.19429430836,0,0.01966393069507036,0.23901113066595736,1.3686233503525023,2.3395357206886818
6,40113.25029957177,1,0.019081475472461785,0.20440690830302546,-4.2273953435034706e-11,0.009999999998244746
7,40134.65490570179,1,0.020761440796624935,0.15514288802683143,-2.9463009809660434e-10,0.009999999908480106
8,40156.153854515425,1,0.010405584874093309,0.12934611329853643,-1.0985212739456074e-11,0.009999999999989129
9,40178.01784722003,1,0.009506771613532153,0.09506839529390711,-1.6302514893595799e-12,0.009999999999987352
10,40180.28496939466,1,0.005669198329490886,0.07987145716731635,-5.838905747790335e-14,0.009999999999945377
11,40201.19114664478,1,0.003754715077147377,0.08435161948824418,-6.949128772415492e-14,0.009999999999957368
12,40213.04834179998,1,0.0007504838727318344,0.02311446764281295,-2.531308496145357e-14,0.009999999999974687
13,40245.60370293657,1,0.0036508392155638445,0.053579263919054064,-1.4210854715202004e-14,0.00999999999998579
14,40264.611044232835,1,9.148970399330287e-15,0.017357598726879416,-1.3202980375659479e-14,0.009999999999965481
15,40275.15611708297,1,4.238575100894971e-15,0.016802859413383723,-1.197930643570544e-13,0.009999999999981801
16,40276.52718788004,1,0.006837296601932044,0.061812763868999115,-6.8747091352960865e-15,0.009999999999993125
17,40289.12231919734,1,0.004570912121454438,0.05566847679580772,-3.085552646719947e-14,0.009999999999969145
18,40293.96818627516,1,0.008164343079717699,0.07443111998565076,-1.4765098865776594e-13,0.009999999999844578
19,40320.21191361438,1,0.009975658855364628,0.08732067189091629,-3.241851231905457e-14,0.009999999999976694
20,40325.905712139356,1,0.004773712501454153,0.08034302221791798,-1.0546251372200999e-13,0.009999999999894538
21,40329.399245484834,1,0.0007419111593940977,0.031281523135549535,-3.186340080674199e-14,0.009999999999968137
22,40339.65216136973,1,0.00021292354938483407,0.06112488061238374,-6.816769371198461e-14,0.009999999999931175
23,40339.6521613697,0,0.0026552932616875163,0.030371431420337127,0.04988660071848655,0.0638008715812679
24,40340.11016687836,0,0.003994459251415941,0.0399984161136772,0.13498985756104187,0.8539090258307354
25,40343.96338881906,1,0.0022923345895634857,0.06904281773816556,-7.126764456355517e-14,0.009999999999950937
26,40344.68275204701,0,0.008510701028816944,0.08671644395739894,0.24392326276130016,0.2539232627613002
27,40345.25176689734,0,0.010609662014897022,0.09017708893916045,0.06362111825420283,0.14486368795770055
28,40359.30546937173,1,0.008044171956890831,0.08294223367204506,-4.968916944569912e-11,0.009999999999999343
29,40359.40023895789,0,0.012101743686471397,0.10089178358052717,0.0495614041948771,0.17803126759986232
30,40359.40023895787,0,0.017723490641269116,0.11987546896486379,0.01206989045134832,0.10088534538344578
31,40359.52028593526,0,0.02254746722685138,0.14656279441058376,0.025361523451880204,0.40420362955721956
32,40360.27896224681,0,0.030604833438807846,0.1859737523982649,0.2506872318645956,0.6799990068597637
33,40360.2789622469,0,0.0383037817237751,0.24677951994528158,0.030551291471453863,0.18594209985609034
34,40360.27896224687,0,0.04785455011119159,0.3549895732944326,0.03829971494574822,0.24677951994528158
35,40360.27896224687,0,0.05524269339169965,0.4693472394226177,0.04776677410185993,0.3549818159676832
36,40364.538984967105,1,0.04698862518169167,0.3548192827035688,0.006547733798370545,0.016547733798370545
37,40365.31783845126,0,0.05466968323253894,0.46396197152508023,0.13578126717933592,0.35457548280739726
