Iterations,Value,Shrinkage,Epsilon_1_next,Epsilon_2_next,Epsilon_1_bound,Epsilon_2_bound
0,53872.54913163204,0,0.25267710468781385,0.18925265034329228,0.5783853468777953,0.5883853468777953
1,55229.801885838155,1,0.07115071055014091,0.043346720974690015,0.021798696171606242,0.009999999999999556
2,55229.80188583811,0,0.08831001555099435,0.06259293785868639,0.06689156388902708,0.04329826006742953
3,55229.80188583811,0,0.13067570020693242,0.1155525927564933,0.10563959492831354,0.09052636516293709
4,55699.19083211306,1,0.127833261734316,0.09852063676536975,0.02347448426590249,0.009999999999999556
5,55699.19083211306,0,0.1821837782013522,0.1547128317777828,0.16082364967702523,0.1218516676421948
6,56222.91711739499,1,0.048462683978466405,0.03443005253314412,-9.0951551845464e-15,0.009999999999990905
7,56500.94264240813,1,0.02839495535827957,0.025292077150123996,-6.574601973952099e-16,0.009999999999990017
8,56500.94264240812,0,0.04092766238680546,0.033951692984083924,0.03420010892062276,0.027110469203139635
9,56500.9426424081,0,0.05998004140838323,0.05316196469457289,0.04603245976584148,0.03699464567454802
10,56500.94264240813,0,0.08327651471830474,0.08402769611332823,0.06263157166089872,0.0540387204020627
11,57159.263255933154,1,0.10336414497927306,0.0914187366176677,0.04921995190160988,0.059219951901609884
12,57159.26325593314,0,0.16226056585015372,0.1431980735258936,0.12130744240075941,0.10132395134130157
13,57159.26325593317,0,0.21467807009629838,0.2093877290715926,0.16212902516336314,0.1418920375470194
14,57893.30834140362,1,0.09739593810502524,0.09219937652720334,6.74807432154978e-16,0.010000000000000675
15,57893.30834140362,0,0.13426930192527473,0.1293232888098431,0.1012775746412542,0.1055750737761658
16,58205.51791415843,1,0.10062347714419453,0.09579891266410774,0.042090375472550574,0.052090375472550576
17,58543.482379619134,1,0.06383456943496013,0.05527562519118755,0.022226293590317033,0.011518763249537933
18,58543.482379619134,0,0.08973758115616028,0.08177643583198277,0.06760450882653025,0.05890789463789403
19,58543.48237961916,0,0.11939278353140026,0.11446856451076251,0.08970443198805089,0.08145003401756433
20,58543.48237961916,0,0.15097367714798438,0.14247369333285428,0.11932523909811167,0.11408002256518479
21,58543.482379619134,0,0.15097367714798438,0.14247369333285428,0.15097367714798438,0.14196137472148163
