Iterations,Value,Shrinkage,Epsilon_1_next,Epsilon_2_next,Epsilon_1_bound,Epsilon_2_bound
0,50110.67567107137,0,0.14856914993081874,0.12347994782789017,0.28339819476475636,0.29339819476475637
1,54160.844193194425,1,0.17693203169390567,0.10734790987652901,-6.661338147750939e-16,0.009999999999999334
2,54720.84419319441,1,0.04975377171039062,0.03578187144828735,-2.1337098754514727e-16,0.009999999999999787
3,54720.844193194425,0,0.07124539636715772,0.050410026734646375,0.048882298751981246,0.040008802980689095
4,54720.84419319441,0,0.09193723077787047,0.08105217438315425,0.07106595872530043,0.05038179705568546
5,54720.844193194425,0,0.138530911485223,0.1282347354842823,0.11517166308063766,0.10740415344200005
6,55688.82604179732,1,0.07369486315774998,0.06364586336079112,6.74807432154978e-16,0.00999999999999135
7,56311.02852676589,1,0.035679017869716716,0.021570719285034505,0.0,0.009999999999999112
8,56311.028526765906,0,0.059262496747111634,0.04561773087742468,0.12898419731955313,0.11767191612991
9,56311.02852676589,0,0.0837441260044238,0.07214614496627485,0.05925574448932469,0.04523058199202801
10,56480.45109802118,1,0.11786674819220996,0.09247478020616628,0.033788079386365195,0.03748964049907521
11,56480.45109802118,0,0.1480006216195376,0.12240086241987548,0.1340832845785851,0.10522806298594212
12,57020.911199031194,1,0.08208324366376912,0.06978289191269686,0.053451072858242694,0.053854609599280893
13,57020.91119903121,0,0.11219423825782508,0.09465253565644284,0.08085126817549317,0.06887231962285512
14,57020.911199031194,0,0.1447394741957406,0.12966380564265303,0.11321098657955364,0.1032111289916957
15,57250.01675792484,1,0.07735694512723548,0.0683097065369077,8.881784197001252e-16,0.010000000000000888
16,57250.01675792484,0,0.099586272594441,0.09358177987629067,0.09182619306064123,0.07094152958274869
17,57250.01675792484,0,0.13008227464786237,0.12425896706218982,0.09914870262471111,0.09325119257434089
18,57250.01675792485,0,0.15191936722940214,0.14949258056413858,0.12986742505188853,0.12398452685770488
19,57250.01675792488,0,0.15191936722940214,0.14949258056413858,0.15191936722940214,0.14948096551487167
